primarykey,combinedfips,countyfips,statefips,party_simple,lng,lat,votes
5050831544,505083,5083,5,DEMOCRAT,-93.71630518,35.21550403,1544
5050836441,505083,5083,5,REPUBLICAN,-93.71630518,35.21550403,6441
5050856686,505085,5085,5,DEMOCRAT,-91.88791683,34.75441172,6686
50508522884,505085,5085,5,REPUBLICAN,-91.88791683,34.75441172,22884
5050871563,505087,5087,5,DEMOCRAT,-93.72465597,36.01103565,1563
5050875658,505087,5087,5,REPUBLICAN,-93.72465597,36.01103565,5658
5050891531,505089,5089,5,DEMOCRAT,-92.68397295,36.26842934,1531
5050895783,505089,5089,5,REPUBLICAN,-92.68397295,36.26842934,5783
5050914245,505091,5091,5,DEMOCRAT,-93.89142003,33.31200171,4245
50509111920,505091,5091,5,REPUBLICAN,-93.89142003,33.31200171,11920
5050934558,505093,5093,5,DEMOCRAT,-90.05430077,35.76420127,4558
5050937296,505093,5093,5,REPUBLICAN,-90.05430077,35.76420127,7296
5050951147,505095,5095,5,DEMOCRAT,-91.20394825,34.67772323,1147
5050951545,505095,5095,5,REPUBLICAN,-91.20394825,34.67772323,1545
505097731,505097,5097,5,DEMOCRAT,-93.65944523,34.53888136,731
5050973046,505097,5097,5,REPUBLICAN,-93.65944523,34.53888136,3046
5050991076,505099,5099,5,DEMOCRAT,-93.30697684,33.66338522,1076
5050992133,505099,5099,5,REPUBLICAN,-93.30697684,33.66338522,2133
505101709,505101,5101,5,DEMOCRAT,-93.2178649,35.91979049,709
5051013192,505101,5101,5,REPUBLICAN,-93.2178649,35.91979049,3192
5051033995,505103,5103,5,DEMOCRAT,-92.88191217,33.59337533,3995
5051035294,505103,5103,5,REPUBLICAN,-92.88191217,33.59337533,5294
5051051012,505105,5105,5,DEMOCRAT,-92.93150636,34.947251,1012
5051053479,505105,5105,5,REPUBLICAN,-92.93150636,34.947251,3479
5051073623,505107,5107,5,DEMOCRAT,-90.84810681,34.42853288,3623
5051072417,505107,5107,5,REPUBLICAN,-90.84810681,34.42853288,2417
505109644,505109,5109,5,DEMOCRAT,-93.65621,34.16356461,644
5051093519,505109,5109,5,REPUBLICAN,-93.65621,34.16356461,3519
5051111424,505111,5111,5,DEMOCRAT,-90.66282507,35.57408383,1424
5051115918,505111,5111,5,REPUBLICAN,-90.66282507,35.57408383,5918
5051131246,505113,5113,5,DEMOCRAT,-94.2279123,34.48595315,1246
5051137035,505113,5113,5,REPUBLICAN,-94.2279123,34.48595315,7035
5051155772,505115,5115,5,DEMOCRAT,-93.03400145,35.4476948,5772
50511518081,505115,5115,5,REPUBLICAN,-93.03400145,35.4476948,18081
505117654,505117,5117,5,DEMOCRAT,-91.55194184,34.83010091,654
5051172786,505117,5117,5,REPUBLICAN,-91.55194184,34.83010091,2786
505119101947,505119,5119,5,DEMOCRAT,-92.31191414,34.76993891,101947
50511963687,505119,5119,5,REPUBLICAN,-92.31191414,34.76993891,63687
5051211215,505121,5121,5,DEMOCRAT,-91.02752205,36.34154412,1215
5051215355,505121,5121,5,REPUBLICAN,-91.02752205,36.34154412,5355
5051233604,505123,5123,5,DEMOCRAT,-90.74840472,35.02180511,3604
5051233242,505123,5123,5,REPUBLICAN,-90.74840472,35.02180511,3242
50512516060,505125,5125,5,DEMOCRAT,-92.67655329,34.64661779,16060
50512539556,505125,5125,5,REPUBLICAN,-92.67655329,34.64661779,39556
505127483,505127,5127,5,DEMOCRAT,-94.06315729,34.86103868,483
