combinedfips,countyfips,statefips,party,lng,lat,votes
606111,6111,6,republican,-119.0848457,34.45474678,132323
606113,6113,6,democratic,-121.9015118,38.68648941,54752
606113,6113,6,republican,-121.9015118,38.68648941,20739
606115,6115,6,democratic,-121.3508296,39.26930746,7910
606115,6115,6,republican,-121.3508296,39.26930746,13170
808001,8001,8,democratic,-104.3375808,39.87357077,96558
808001,8001,8,republican,-104.3375808,39.87357077,80085
808003,8003,8,democratic,-105.788359,37.57261807,3189
808003,8003,8,republican,-105.788359,37.57261807,3046
808005,8005,8,democratic,-104.3385011,39.649919,159885
808005,8005,8,republican,-104.3385011,39.649919,117054
808007,8007,8,democratic,-107.0481757,37.19365584,2500
808007,8007,8,republican,-107.0481757,37.19365584,4264
808009,8009,8,democratic,-102.5601186,37.31923997,283
808009,8009,8,republican,-102.5601186,37.31923997,1753
808011,8011,8,democratic,-103.0720227,37.95492416,590
808011,8011,8,republican,-103.0720227,37.95492416,1188
808013,8013,8,democratic,-105.3574574,40.09241482,132334
808013,8013,8,republican,-105.3574574,40.09241482,41398
808014,8014,8,democratic,-105.0532651,39.95343909,19731
808014,8014,8,republican,-105.0532651,39.95343909,14368
808015,8015,8,democratic,-106.1940269,38.74728839,4888
808015,8015,8,republican,-106.1940269,38.74728839,5391
808017,8017,8,democratic,-102.6036365,38.82780723,132
808017,8017,8,republican,-102.6036365,38.82780723,925
808019,8019,8,democratic,-105.6447627,39.68922182,2729
808019,8019,8,republican,-105.6447627,39.68922182,2575
808021,8021,8,democratic,-106.1911108,37.20059578,1771
808021,8021,8,republican,-106.1911108,37.20059578,1914
808023,8023,8,democratic,-105.4278551,37.27823118,1125
808023,8023,8,republican,-105.4278551,37.27823118,588
808025,8025,8,democratic,-103.7838298,38.32685938,339
808025,8025,8,republican,-103.7838298,38.32685938,1079
808027,8027,8,democratic,-105.3670379,38.10882281,797
808027,8027,8,republican,-105.3670379,38.10882281,2061
808029,8029,8,democratic,-107.8629449,38.86135647,4087
808029,8029,8,republican,-107.8629449,38.86135647,11655
808031,8031,8,democratic,-104.8760248,39.76129114,244551
808031,8031,8,republican,-104.8760248,39.76129114,62690
808033,8033,8,democratic,-108.5173886,37.75208472,242
808033,8033,8,republican,-108.5173886,37.75208472,944
808035,8035,8,democratic,-104.92921,39.32970828,68657
808035,8035,8,republican,-104.92921,39.32970828,102573
808037,8037,8,democratic,-106.6953848,39.62801893,14099
808037,8037,8,republican,-106.6953848,39.62801893,8990
808039,8039,8,democratic,-104.1351629,39.2863996,3134
808039,8039,8,republican,-104.1351629,39.2863996,11707
808041,8041,8,democratic,-104.5257538,38.83242336,108010
808041,8041,8,republican,-104.5257538,38.83242336,179228
808043,8043,8,democratic,-105.4399703,38.47306423,5297
808043,8043,8,republican,-105.4399703,38.47306423,15122
808045,8045,8,democratic,-107.9036205,39.59941978,11271
808045,8045,8,republican,-107.9036205,39.59941978,13132
808047,8047,8,democratic,-105.5221395,39.85721134,1634
808047,8047,8,republican,-105.5221395,39.85721134,1566
808049,8049,8,democratic,-106.1184564,40.10246658,3358
808049,8049,8,republican,-106.1184564,40.10246658,4494
808051,8051,8,democratic,-107.0316959,38.66684745,5128
808051,8051,8,republican,-107.0316959,38.66684745,3289
808053,8053,8,democratic,-107.3003579,37.82131615,197
808053,8053,8,republican,-107.3003579,37.82131615,339
808055,8055,8,democratic,-104.9607082,37.68484082,1633
808055,8055,8,republican,-104.9607082,37.68484082,1883
808057,8057,8,democratic,-106.3427076,40.66623861,171
808057,8057,8,republican,-106.3427076,40.66623861,629
808059,8059,8,democratic,-105.2504738,39.58646067,160776
808059,8059,8,republican,-105.2504738,39.58646067,138177
808061,8061,8,democratic,-102.7389041,38.43263854,91
808061,8061,8,republican,-102.7389041,38.43263854,728
808063,8063,8,democratic,-102.60233,39.30507096,536
808063,8063,8,republican,-102.60233,39.30507096,2967
808065,8065,8,democratic,-106.344854,39.20226223,1616
808065,8065,8,republican,-106.344854,39.20226223,1270
808067,8067,8,democratic,-107.843327,37.28655123,15525
808067,8067,8,republican,-107.843327,37.28655123,12587
808069,8069,8,democratic,-105.4615545,40.6665145,93113
808069,8069,8,republican,-105.4615545,40.6665145,83431
808071,8071,8,democratic,-104.0385309,37.31577175,2650
808071,8071,8,republican,-104.0385309,37.31577175,3710
808073,8073,8,democratic,-103.5137335,38.98742236,409
808073,8073,8,republican,-103.5137335,38.98742236,1892
808075,8075,8,democratic,-103.1101132,40.72463929,1851
